indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
190,NCT04335136,Lymphocyte Count,O1:88|O2:90|O1:82|O2:82|O1:85|O2:83|O1:82|O2:80|O1:81|O2:75|O1:77|O2:73|O1:37|O2:37,O1:1.13|O2:1.06|O1:1.25|O2:1.16|O1:1.45|O2:1.62|O1:1.74|O2:1.79|O1:1.70|O2:1.71|O1:2.28|O2:1.72,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Lymphocyte Count,Lymphocyte Count,['Lymphocyte Count'],NA,37393858,Lymphocyte count,Measurement,outcome_159
191,NCT04335136,C-reactive Protein Levels,O1:88|O2:90|O1:77|O2:79|O1:80|O2:74|O1:78|O2:76|O1:74|O2:71|O1:69|O2:73|O1:36|O2:37,O1:56.0|O2:62.8|O1:36.1|O2:43.7|O1:21.7|O2:26.1|O1:13.9|O2:26.3|O1:15.8|O2:38.3|O1:4.9|O2:8.5,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),C-reactive Protein,CRP,['C-reactive Protein'],NA,4208414,C-reactive protein measurement,Measurement,outcome_160
192,NCT04335136,D-Dimer,O1:88|O2:90|O1:71|O2:73|O1:69|O2:74|O1:73|O2:68|O1:70|O2:66|O1:70|O2:66|O1:32|O2:31,O1:1341|O2:1187|O1:1109|O2:881|O1:1208|O2:1139|O1:988|O2:1219|O1:1015|O2:1013|O1:573|O2:685,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),D-dimer,D-dimer,['D-dimer'],NA,37393605,D-dimer level,Measurement,outcome_161
193,NCT04335136,Log-transformed Levels of LDH,O1:88|O2:90|O1:78|O2:77|O1:76|O2:76|O1:78|O2:74|O1:72|O2:74|O1:69|O2:71|O1:38|O2:38,O1:5.91|O2:5.87|O1:5.86|O2:5.88|O1:5.77|O2:5.75|O1:5.66|O2:5.67|O1:5.55|O2:5.52|O1:5.43|O2:5.50,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),LDH,LDH,['LDH'],NA,4210717,Serum lactate dehydrogenase measurement,Measurement,outcome_162
194,NCT04331366,Oxygen Saturation by Pulse Oximetry,O1:2,O1:92|O1:93.5|O1:94|O1:94|O1:92.5,GO2 PEEP MOUTHPIECE,Oxygen Saturation,SpO2,"['Oxygen', 'Oxygen Saturation']",Time Frame: 28 days after randomization ,40762498,Oxygen saturation in Blood Preductal by Pulse oximetry,Measurement,outcome_163
195,NCT04331366,Respiratory Rate,O1:2,O1:23.5|O1:20|O1:18|O1:17|O1:18.5,GO2 PEEP MOUTHPIECE,Respiratory Rate,Respiratory Rate,['Respiratory Rate'],Time Frame: Baseline to Day 29 ,4313591,Respiratory rate,Measurement,outcome_164
196,NCT04331366,Heart Rate,O1:2,O1:84.5|O1:87.5|O1:90.5|O1:86.5|O1:86.5,GO2 PEEP MOUTHPIECE,Heart Rate,Heart Rate,['Heart Rate'],Time Frame: Day 1 through Day 29 ,4239408,Heart rate,Measurement,outcome_165
197,NCT04331366,Blood Pressure,O1:2,O1:152.5|O1:65|O1:155|O1:72.5|O1:150|O1:70|O1:145|O1:67.5|O1:152.5|O1:65,GO2 PEEP MOUTHPIECE,Blood Pressure,Blood Pressure,['Blood Pressure'],Time Frame: Baseline ,4326744,Blood pressure,Measurement,outcome_166
198,NCT04331366,Count of Participants With Subjective Work of Breathing,O1:2|O1:0|O1:2|O1:2|O1:2|O1:0,O1:1|O1:0|O1:0,GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE,Subjective Work of Breathing,Breathing,['Subjective Work of Breathing'],Time Frame: Days 1 - 17. ,21499243,Breathing,Meas Value,outcome_167
199,NCT04331899,Duration Until Viral Shedding Cessation,O1:60|O2:60,O1:7|O2:7,Lambda|Placebo,Viral Shedding,Viral Clearance,['Viral Shedding'],Time Frame: 0 to 24 hours post-dose ,4201079,Patient shedding virus,Condition,outcome_168
200,NCT04331899,Change in Sars-CoV-2 Viral Load,O1:60|O2:60,O1:-4.3|O2:-4.9,Lambda|Placebo,Viral Load,Viral Load,['Viral Load'],Time Frame: Pre-SSI to 3-month follow-up ,37393279,Viral load,Measurement,outcome_169
201,NCT04331899,Area Under the Curve of SARS-COV-2 Viral Load,O1:60|O2:60,O1:28.5|O2:29.6,Lambda|Placebo,Viral Load,Viral Load,['Viral Load'],Time Frame: Pre-SSI to 3-month follow-up ,37311062,Antigen of SARS-CoV-2,Observation,outcome_170
202,NCT04331899,Duration Until Resolution of Symptoms,O1:60|O2:60,O1:8|O2:9,Lambda|Placebo,Resolution of Symptoms,Resolution of Symptoms,"['Symptom', 'Resolution of Symptoms']","Time Frame: Baseline, Days 4, 7, 15, 21, and 29 ",4037328,Time symptom lasts,Observation,outcome_171
203,NCT04331899,Count of Participants Requiring Emergency Department Visits or Hospitalizations Within 28 Days of Initiation of Treatment,O1:60|O2:60,O1:2|O2:2|O1:5|O2:3,Lambda|Placebo,hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 22 ,45883971,Hospital emergency department,Meas Value,outcome_172
204,NCT04292899,Part A: Percentage of Participants in Each Clinical Status Category as Assessed by a 7-Point Ordinal Scale on Day 14,O1:200|O2:197,O1:8.0|O2:10.7|O1:8.5|O2:16.8|O1:4.0|O2:5.1|O1:9.5|O2:7.6|O1:6.0|O2:6.1|O1:4.0|O2:1.5|O1:60.0|O2:52.3,Part A: Remdesivir (RDV) for 5 Days|Part A: Remdesivir for 10 Days,ordinal scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: days 1, 5 and 14 ",4138597,Clinical status,Observation,outcome_173
205,NCT04292899,Part A: Percentage of Participants Who Experienced Treatment-Emergent Adverse Events (TEAEs),O1:200|O2:197,O1:71.5|O2:75.1,Part A: Remdesivir (RDV) for 5 Days|Part A: Remdesivir for 10 Days,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: Admission to discharge dates (approximately 4-14 days after admission). Discharge variables considered as the last available data before their death for the expired patients. ,45884383,Adverse event,Meas Value,outcome_174
206,NCT04292730,Part A: Percentage of Participants in Each Clinical Status Category as Assessed by a 7-Point Ordinal Scale on Day 11,O1:191|O2:193|O3:200,O1:0.0|O2:1.0|O3:2.0|O1:0.0|O2:0.5|O3:2.0|O1:2.6|O2:0.0|O3:3.5|O1:3.7|O2:6.2|O3:5.5|O1:19.9|O2:22.8|O3:23.0|O1:3.7|O2:4.7|O3:4.0|O1:70.2|O2:64.8|O3:60.0,Part A: Remdesivir for 5 Days|Part A: Remdesivir for 10 Days|Part A: SOC Therapy,ordinal scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: 14 days ,4138597,Clinical status,Observation,outcome_105
207,NCT04292730,Part A: Percentage of Participants Who Experienced Treatment-Emergent Adverse Events (TEAEs),O1:191|O2:193|O3:200,O1:51.3|O2:58.5|O3:46.5,Part A: Remdesivir for 5 Days|Part A: Remdesivir for 10 Days|Part A: SOC Therapy,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']","Time Frame: The duration of hospitalization for the patients (admission to discharge dates, approximately 4-14 days after admission). The patients who died were excluded. ",45884383,Adverse event,Meas Value,outcome_175
208,NCT04320615,Clinical Status Assessed Using a 7-Category Ordinal Scale at Day 28 (Week 4),O1:294|O2:144,Tocilizumab (TCZ) mITT Arm|Placebo Modified Intent-to-Treat (mITT) Arm,NA,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",NA,4138597,Clinical status,Observation,outcome_176
209,NCT04320615,"Time to Clinical Improvement (TTCI), Defined as a National Early Warning Score 2 (NEWS2) of </= 2 Maintained for 24 Hours",O1:294|O2:144,NA,NA,Improvement,Improvement,"['improvement', 'Improvement', 'National Early Warning Score 2']",NA,37208353,Royal College of Physicians NEWS2 (National Early Warning Score 2) total score,Measurement,outcome_177
210,NCT04320615,Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status,O1:294|O2:144,NA,NA,Improvement,Improvement,"['Ordinal Scale', 'improvement', 'Improvement', 'Clinical Status', 'ordinal scale']",NA,4138597,Clinical status,Observation,outcome_178
211,NCT04320615,"Time to Hospital Discharge or ""Ready for Discharge""",O1:294|O2:144,NA,NA,discharge,Discharge,"['discharge', 'Discharge', 'Hospital']",NA,4325701,Ready for discharge,Observation,outcome_179
212,NCT04320615,Incidence of Mechanical Ventilation by Day 28,O1:294|O2:144|O3:183|O4:90,NA,NA,Mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']",NA,4230167,Artificial respiration,Procedure,outcome_138
213,NCT04320615,Ventilator-Free Days to Day 28,O1:294|O2:144,NA,NA,Ventilator-free,Ventilator-free,['Ventilator-free'],NA,44786857,Days on ventilator,Measurement,outcome_151
214,NCT04320615,Incidence of Intensive Care Unit (ICU) Stay by Day 28 (Week 4),O1:294|O2:144|O3:127|O4:64,NA,NA,ICU,ICU,"['Intensive Care', 'ICU']",NA,36311219,Intensive care unit (ICU),Meas Value,outcome_180
215,NCT04320615,Duration of ICU Stay to Day 28 (Week 4),O1:294|O2:144,NA,NA,ICU,ICU,['ICU'],NA,44786856,Days in intensive care unit,Observation,outcome_181
216,NCT04320615,Clinical Status Assessed Using a 7-Category Ordinal Scale at Day 14,O1:294|O2:144,NA,NA,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",NA,4138597,Clinical status,Observation,outcome_176
217,NCT04320615,Time to Clinical Failure to Day 28 (Week 4),O1:294|O2:144,NA,NA,Time,Time,[],NA,45881190,Failure,Meas Value,outcome_182
218,NCT04320615,Mortality Rate at Day 28 (Week 4),O1:294|O2:144,NA,NA,Mortality,Death ,"['Mortality Rate', 'Mortality']",NA,4249566,Mortality rate,Observation,outcome_137
219,NCT04320615,Time to Recovery to Day 28 (Week 4),O1:294|O2:144,NA,NA,Recovery,Recovery,"['Recovery', 'Time to Recovery']",NA,31999,Recovered,Cost,outcome_183
220,NCT04320615,Duration of Supplemental Oxygen to Day 28 (Week 4),O1:294|O2:144,NA,NA,Oxygen,Oxygen,['Oxygen'],NA,36308581,Supplemental oxygen,Meas Value,outcome_13
221,NCT04401202,Percentage of Participants With Clinical Recovery Within 14 Days After Randomization,O1:87|O2:86,O1:54|O2:31,Nigella Sativa Oil|Control,Recovery,Recovery,['Recovery'],"Time Frame: Day 0 through Day 2, acute phase ",31999,Recovered,Cost,outcome_184
222,NCT04401202,The Number of Days to Recovery,O1:87|O2:86,O1:11|O2:14,Nigella Sativa Oil|Control,Recovery,Recovery,['Recovery'],"Time Frame: Day 1 through Day 15, chronic phase ",31999,Recovered,Cost,outcome_185
223,NCT04401202,Duration of Each Symptom,O1:87|O2:86,O1:8.5|O2:10.4|O1:2.5|O2:3.7|O1:3.5|O2:5.5|O1:2.1|O2:4.9,Nigella Sativa Oil|Control,Symptom,Symptom,['Symptom'],Time Frame: 14 days ,4037328,Time symptom lasts,Observation,outcome_186
224,NCT04401202,Side Effects,O1:87|O2:86,O1:3|O2:0,Nigella Sativa Oil|Control,Effect,Effect,['Effect'],Time Frame: Day 1 through Day 29 ,36308802,Side effects,Meas Value,outcome_187
225,NCT04401202,Hospital Admission Due to Disease Complications,O1:87|O2:86,O1:0|O2:4,Nigella Sativa Oil|Control,Complication,Complication,"['Complication', 'Hospital']",Time Frame: 7 days ,8715,Hospital admission,Observation,outcome_188
226,NCT04435808,SARS-CoV-2 Infection,NA,NA,NA,Infect,Infect,['Infect'],NA,37311065,SARS-CoV-2,Observation,outcome_189
227,NCT04435808,Symptomatic vs. Asymptomatic Infection With SARS-CoV-2,NA,NA,NA,Symptom,Symptom,"['Symptom', 'Infect']",NA,3662381,Asymptomatic SARS-CoV-2,Condition,outcome_190
228,NCT04435808,Occupational Health Exposure,NA,NA,NA,Health Exposure,Health Exposure,[],NA,46238109,Occupational Health,Meas Value,outcome_191
229,NCT04435808,Impact of Hydroxychloroquine Use on Need for Hospitalization With SARS-CoV-2 Infection,NA,NA,NA,Hospitalization,Hospitalization,"['Hospitalization', 'Infect', 'hospitalization', 'Hospital']",NA,1777087,hydroxychloroquine,Drug,outcome_192
230,NCT04435808,Impact of Hydroxychloroquine Use on Need for ICU Care With SARS-CoV-2 Infection,NA,NA,NA,ICU,ICU,"['Infect', 'ICU']",NA,1777087,hydroxychloroquine,Drug,outcome_193
231,NCT04435808,Adverse Effect Profile of Hydroxychloroquine,NA,NA,NA,Adverse,Adverse,"['Effect', 'Adverse']",NA,4098402,Hydroxychloroquine adverse reaction,Observation,outcome_194
232,NCT04435808,Seroconversion Following SARS-CoV-2 Infection,NA,NA,NA,Infect,Infect,['Infect'],NA,704991,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Blood,Measurement,outcome_195
233,NCT04435808,Metagenomic Next Generation Sequencing of SARS-CoV-2 Isolates,NA,NA,NA,Sequencing,Sequencing,[],NA,704993,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using Sequencing,Measurement,outcome_196
234,NCT04338074,Hospitalization,O1:3|O2:2,O1:0|O2:0,Tranexamic Acid Treatment|Placebo Treatment,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",NA,45884746,Hospitalization,Meas Value,outcome_143
235,NCT04338074,NA,NA,NA,NA,nan,nan,['nan'],NA,NA,NA,NA,outcome_197
236,NCT04358068,Number of Participants Who Died From Any Cause or Were Hospitalized,O1:7|O2:9,O1:0|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,['Hospital'],NA,4249566,Mortality rate,Observation,outcome_137
237,NCT04358068,Number of Participants Who Died From Any Cause,O1:7|O2:9,O1:0|O2:0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,[],NA,4249566,Mortality rate,Observation,outcome_137
238,NCT04358068,"Number of Participants Who Died From Any Cause, or Were Hospitalized, or Had an Urgent Visit to Emergency Room or Clinic",O1:7|O2:9,O1:1|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,['Hospital'],NA,4249566,Mortality rate,Observation,outcome_137
239,NCT04358068,Number of Participants Who Died From Any Cause or Were Hospitalized Through the End of Follow-up,O1:0|O2:0,NA,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,['Hospital'],NA,1147312,death,Metadata,outcome_198
240,NCT04358068,Number of Participants Who Prematurely Discontinue Study Treatment Due to an Adverse Event,O1:7|O2:9,O1:0|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Adverse,Adverse,"['Adverse', 'Adverse Event']",NA,45884383,Adverse event,Meas Value,outcome_199
241,NCT04358068,Number of Participants Who Had Any Cardiac Adverse Events,O1:7|O2:9,O1:0|O2:0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,45884383,Adverse event,Meas Value,outcome_199
242,NCT04358068,Duration of Fever,O1:7|O2:8,O1:0|O2:0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Fever ,Fever ,['Fever'],NA,21495022,Fever duration,Observation,outcome_200
243,NCT04358068,Duration of Symptoms Associated With COVID-19 Disease,O1:7|O2:9,O1:11.0|O2:10.0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Symptom,Symptom,['Symptom'],NA,1333343,COVID-19 Related Symptoms,Observation,outcome_201
244,NCT04358068,Participant-specific Area Under the Curve (AUC) of the Symptom Score Associated With COVID-19 Disease Over Time,O1:7|O2:9,O1:4.0|O2:2.8,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Symptom,Symptom,['Symptom'],NA,21494066,Symptom score [AUASI],Observation,outcome_202
245,NCT04358068,Time to Self-reported Return to Usual (Pre-COVID) Health.,O1:7|O2:9,O1:17.0|O2:10.0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Time,Time,[],NA,764573,Self-reported,Observation,outcome_203
246,NCT04358068,SARS-CoV-2 RNA Detection Status From Self-collected Nasal and Site-collected NP Swabs Among Subset,O1:0|O2:0,NA,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Detection,Detection ,['Detection'],NA,715261,SARS-CoV-2 (COVID-19) RNA [Presence] in Saliva (oral fluid) by Sequencing,Measurement,outcome_204
247,NCT04358068,SARS-CoV-2 RNA Level (Continuous) From Self-collected Nasal and Site-collected NP Swabs Among Subset,O1:0|O2:0,NA,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,RNA,RNA,[],NA,715261,SARS-CoV-2 (COVID-19) RNA [Presence] in Saliva (oral fluid) by Sequencing,Measurement,outcome_205
248,NCT04358068,Number of Participants With an Occurrence of Fainting,O1:7|O2:9,O1:1|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Fainting,Fainting,[],NA,4323504,Clinical trial participant,Observation,outcome_206
249,NCT04358081,Number of Participants Who Achieved Clinical Response by Day 15,O1:7|O2:7|O3:5,O1:7|O2:7|O3:4,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Clinical Response,Clinical Response,['Clinical Response'],Time Frame: Baseline ,4138597,Clinical status,Observation,outcome_207
250,NCT04358081,Number of Participants Who Achieved Viral Clearance,O1:7|O2:7|O3:5,O1:2|O2:3|O3:3|O1:2|O2:3|O3:3,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Viral Clearance,Viral Clearance,['Viral Clearance'],Time Frame: Pre-SSI ,4124760,Clearance,Observation,outcome_144
251,NCT04358081,Number of Participants Discharged or Ready for Discharge,O1:7|O2:7|O3:5,O1:7|O2:7|O3:4,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Discharge ,Discharge,"['discharge', 'Discharge']",Time Frame: Day 1 through Day 29 ,4325701,Ready for discharge,Observation,outcome_208
252,NCT04358081,Time to Return to Pre-morbid Supplemental Oxygen Requirement in Participants Receiving Hydrochloroquine or Hydrochloroquine Plus Azithromycin Relative to Placebo,O1:7|O2:7|O3:5,O1:7|O2:6|O3:4,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Oxygen,Oxygen,['Oxygen'],Time Frame: Enrollment to Day 28 ,45884194,Receiving supplemental oxygen,Meas Value,outcome_209
253,NCT04523831,Number of Patients With Early Clinical Improvement,O1:183|O2:180,O1:111|O2:80,Ivermectin Plus Doxycycline|Placebo,Improvement ,Improvement,"['improvement', 'Improvement']",Time Frame: Day 6 ,35621943,Patient Global Impression of Improvement,Measurement,outcome_210
254,NCT04523831,Number of Participants With Late Clinical Recovery,O1:183|O2:180,O1:42|O2:67,Ivermectin Plus Doxycycline|Placebo,Recovery,Recovery,['Recovery'],"Time Frame: Day 0 through Day 2, acute phasNumber of Incidents of Epistaxis, Chronic Phase|Time Frame: Day 1 through Day 15, chronic phase ",31999,Recovered,Cost,outcome_211
255,NCT04523831,Number of Patients Having Clinical Deterioration.,O1:183|O2:180,O1:16|O2:32,Ivermectin Plus Doxycycline|Placebo,Deterioration,Deterioration,['Deterioration'],Time Frame: Day 1 ,4111347,General health deterioration,Condition,outcome_212
256,NCT04523831,Number of Patients Remain Persistently Positive for RT-PCR of Covid-19,O1:183|O2:180,O1:14|O2:36,Ivermectin Plus Doxycycline|Placebo,RT-PCR,RT-PCR,"['Positive', 'RT-PCR']",Time Frame: Baseline to Day 29 ,35936593,Positive on RT-PCR and IHC,Meas Value,outcome_213
257,NCT04599959,Number of Participants Testing Positive or Negative for SARS-CoV-2 Virus From Swab and Saliva Samples - Processed in Mexico,O1:151|O2:103,O1:85|O2:13|O1:66|O2:89|O1:0|O2:1,Swab - Processed in Mexico|Saliva - Processed in Mexico,Positive,Positive,['Positive'],NA,703439,Taking of swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),Procedure,outcome_214
258,NCT04599959,Percentage of Participants Testing True Positive or True Negative for SARS-CoV-2 Virus From Swab and Saliva Samples - Processed in Germany,O1:141|O1:69|O1:72,O1:52.2|O1:100.0,Swab+Saliva - Processed in Germany|Swab+Saliva - Processed in Germany|Swab+Saliva - Processed in Germany,Positive,Positive,['Positive'],NA,703439,Taking of swab for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),Procedure,outcome_214
259,NCT04343092,Number of Cured Patients,O1:16,O1:16,IVM+HCQ+AZT Group,cure,cure,['cure'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4159637,Patient cured,Condition,outcome_215
260,NCT04343092,Time to Cure of COVID-19 Patients in the IVM +HCQ+AZT Group,O1:16,O1:7.62,IVM+HCQ+AZT Group,cure,cure,['cure'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",31999,Recovered,Cost,outcome_216
